Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2021 Trek Full EX5,2021,Trek,NoModelFound,1800,USD,Excellent - Lightly Ridden,S,29,140 mm,130 mm,Aluminium,model,https://www.pinkbike.com/buysell/3725583/
2017 Ibis HD3 XTR,2017,Ibis,NoModelFound,2150,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,153 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3575552/
2020 Propain Ekano AL Mix AXS,2020,Propain,Ekano Electric,2200,USD,"Good - Used, Mechanically Sound",XL,29,160 mm,170 mm,Aluminium,model,https://www.pinkbike.com/buysell/3795435/
NORCO OPTIC,,Norco,Optic,2576,CAD,Excellent - Lightly Ridden,M,29,140 mm,130 mm,Carbon Fiber,year,https://www.pinkbike.com/buysell/3729528/
"2016 specilized hardrock, extra small",2016,NoManufacturer,NoModelFound,200,USD,"Good - Used, Mechanically Sound",XS,26,80 mm,0 mm (Hardtail),Aluminium,manufacturer,https://www.pinkbike.com/buysell/3748750/
2022 Co-op Cycles DRT 1.1 Mountain Bike Small,2022,NoManufacturer,NoModelFound,450,USD,Excellent - Lightly Ridden,S,27.5 / 650B,100 mm,0 mm (Hardtail),Aluminium,manufacturer,https://www.pinkbike.com/buysell/3794587/
2022 iner Jet 9 RDO 2 Star Build. New!. Shop closeout.,2022,NoManufacturer,NoModelFound,3499,USD,New - Unridden/With Tags,M,29,130 mm,120 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3597021/
2022 Niner Rip 9 2 Star Build. New!. Shop closeout.,2022,Niner,NoModelFound,3999,USD,New - Unridden/With Tags,S,29,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3597036/
2022 Niner Rip 9 2 Star Build. New!. Shop closeout.,2022,Niner,NoModelFound,3999,USD,New - Unridden/With Tags,M,29,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3597042/
2022 Niner Rip 9 2 Star Build. New!. Shop closeout.,2022,Niner,NoModelFound,3999,USD,New - Unridden/With Tags,M,29,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3597045/
2020 Specialized Camber Mountain Bike size Large,2020,Specialized,NoModelFound,2500,USD,"Good - Used, Mechanically Sound",L,29,150 mm,130 mm,Aluminium,model,https://www.pinkbike.com/buysell/3790330/
2021 sworks enduro custom S3 size,2021,NoManufacturer,NoModelFound,4000,USD,Excellent - Lightly Ridden,S,29,160 mm,160 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3788276/
2023 GIANT TRANCE 2 29,2023,Giant,NoModelFound,1900,USD,Excellent - Lightly Ridden,L,29,130 mm,130 mm,Aluminium,model,https://www.pinkbike.com/buysell/3793445/
2006 Cannondale Prophet 1000 M,2006,Cannondale,NoModelFound,600,USD,"Good - Used, Mechanically Sound",M,26,140 mm,140 mm,Aluminium,model,https://www.pinkbike.com/buysell/3594788/
2016 Pivot Mach 429 Trail Team XX1 Lg w/ Carbon Wheels,2016,Pivot,NoModelFound,3800,USD,Excellent - Lightly Ridden,L,27.5 / 650B,130 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3778586/
2009 Niner Rip 9 Full Suspension 29er,2009,Niner,NoModelFound,750,USD,Excellent - Lightly Ridden,20,29,100 mm,100 mm,Aluminium,model,https://www.pinkbike.com/buysell/3792019/
2022 Polygon Siskiu T7 - Medium,2022,Polygon,Siskiu T,3000,USD,Excellent - Lightly Ridden,M,29,,,Aluminium,front travel,https://www.pinkbike.com/buysell/3791978/
2019 Salsa Timberjack single speed hard tail,2019,Salsa,Timberjack,600,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,,0 mm (Hardtail),Aluminium,front travel,https://www.pinkbike.com/buysell/3791782/
2017 Stumpjumper Carbon Fattie Expert,2017,NoManufacturer,NoModelFound,1400,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,,,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3791600/
