Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review
2020 Hightower Carbon S Build (with upgrades),2020,NoManufacturer,Hightower,2020,,2999,USD,Excellent - Lightly Ridden,M,"29""",150 mm,manufacturer
2022 Transition Sentinel large. NX build,2022,Transition,Sentinel,2022,,2800,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2022 Transition Sentinel - XL,2022,Transition,Sentinel,2022,,3500,USD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2020 Rocky Mountain Instinct BC Edition C70 Large,2020,Rocky Mountain,Instinct,2020,,3750,CAD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2015 NINER WFO,2015,Niner,NoModelFound,2015,,1550,USD,"Good - Used, Mechanically Sound",XL,"29""",160 mm,model
2015 Norco range a7.1 size L,2015,Norco,Range,2015,,1850,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,currency
2022 Transiton patroll,2022,NoManufacturer,Patrol,2022,,2500,USD,Excellent - Lightly Ridden,L,"29""",160 mm,manufacturer
2018 YT Industries Jeffsy 27 Carbon Fiber Pro Race Medium,2018,YT,Jeffsy,2018,,4000,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2020 YETI sb 150,2020,Yeti,NoModelFound,2020,,3850,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,model
2021 Norco Sight C2,2021,Norco,Sight,2021,,5200,CAD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
*PRICE DROP* 2019 Ibis Mojo HD4,2019,Ibis,Mojo,2019,,2200,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2016 Evil Insurgent Medium,2016,Evil,Insurgent,2016,,3200,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",150 mm,currency
2018 Commencal Meta Am,2018,Commencal,NoModelFound,2018,,2250,USD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",170 mm,model
2022 Juliana Roubion size small,2022,Juliana,Roubion,2022,,7000,CAD,"Good - Used, Mechanically Sound",S,"29""",170 mm,currency
2022 Transition patrol alloy medium,2022,Transition,Patrol,2022,,3900,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2019 Intense Carbine M,2019,Intense,Carbine,2019,,2150,USD,"Good - Used, Mechanically Sound",M,"29""",160 mm,currency
2022 Trek slash,2022,Trek,Slash,2022,,2100,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2021 Rocky Mountain Altitude sz Lg,2021,Rocky Mountain,Altitude,2021,,6500,CAD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2022 Kona process 134,2022,Kona,NoModelFound,2022,,2100,USD,Excellent - Lightly Ridden,L,"29""",160 mm,model
2021 Commencal Meta HT - Essential Build with Upgrades,2021,Commencal,Meta HT,2021,,1700,CAD,Excellent - Lightly Ridden,L,"27.5"" / 650B",160 mm,currency
2014 YETI SB 66,2014,Yeti,NoModelFound,2014,,2000,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,model
2019 Juliana (Santa Cruz) Roubion CC X01,2019,Juliana,Roubion,2019,,5500,CAD,Excellent - Lightly Ridden,S,"27.5"" / 650B",160 mm,currency
2021 IBIS MOJO HD5 | Medium Mullet | Custom,2021,Ibis,Mojo,2021,,2950,USD,"Good - Used, Mechanically Sound",M,"29""",160 mm,currency
"2019 Evil Wreckoning LB, Large",2019,Evil,Wreckoning,2019,,3500,CAD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2022 YT Capra Uncaged 9,2022,YT,Capra,2022,,2700,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2019 Giant Reign,2019,Giant,Reign,2019,,2700,CAD,"Good - Used, Mechanically Sound",S,"27.5"" / 650B",180 mm,currency
2021 Ibis Ripmo AF,2021,Ibis,Ripmo,2021,,4100,CAD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2020 Trek Slash 9.8 Small,2020,Trek,Slash,2020,,4000,USD,Excellent - Lightly Ridden,S,"29""",160 mm,currency
2020 Norco Sight - Full Custom,2020,Norco,Sight,2020,,3900,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",180 mm,currency
2019 YT Capra CF Full Fox Factory XTR,2019,YT,Capra,2019,,3200,USD,Excellent - Lightly Ridden,XXL,"29""",170 mm,currency
2019 Transition Patrol AL GX Large,2019,Transition,Patrol,2019,,2500,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,currency
2017 Specialized Women's Epic HT Comp Carbon.,2017,Specialized,Epic,2017,,2000,USD,Excellent - Lightly Ridden,M,"29""",0 mm (Rigid),currency
2020 Commencal Meta AM 29 M,2020,Commencal,NoModelFound,2020,,3000,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,model
GT Force X Expert,,GT,Force,,,2100,CAD,Excellent - Lightly Ridden,S,"27.5"" / 650B",,price
2019 XL Orbea Rallon M-10 w/Major Upgrades,2019,Orbea,Rallon,2019,,2500,USD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2022 Specialize Enduro S-Works,2022,NoManufacturer,Enduro,2022,,5000,USD,Excellent - Lightly Ridden,XL,"29""",180 mm,manufacturer
2017 Santa Cruz Bronson CC Medium,2017,Santa Cruz,Bronson,2017,,2200,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",150 mm,currency
2019 Vitus Sommet 27,2019,Vitus,Sommet,2019,,2000,USD,Excellent - Lightly Ridden,S,"27.5"" / 650B",170 mm,currency
2022 Yeti SB165 T3 Large,2022,Yeti,SB165,2022,,4200,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2022 Marin Alpine Trail XR,2022,Ari,Alpine,2022,,2000,USD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
"2021 Yeti sb 150, medium",2021,Yeti,NoModelFound,2021,,4500,USD,Excellent - Lightly Ridden,"18""","29""",160 mm,model
2021 Rossignol Enduro,2021,NoManufacturer,Enduro,2021,,1000,USD,"Good - Used, Mechanically Sound",S,"27.5"" / 650B",170 mm,manufacturer
2018 Rocky Mountain Altitude A70 Custom Build,2018,Rocky Mountain,Altitude,2018,,2550,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2021 Commencal Meta Tr 29,2021,Commencal,Meta TR,2021,,2600,USD,Excellent - Lightly Ridden,L,"29""",150 mm,currency
2018 Ibis mojo hd4 !!!NEED GONE FAST!!!,2018,Ibis,Mojo,2018,,2200,USD,"Good - Used, Mechanically Sound",S,"27.5"" / 650B",160 mm,currency
2023 Canfield Balance Medium,2023,Canfield,Balance,2023,,2800,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",170 mm,currency
2021 Specialized S4 29er. Carbon Fiber,2021,Specialized,NoModelFound,2021,,4750,USD,Excellent - Lightly Ridden,48cm,"29""",120 mm,model
2023 Norco Sight C 29 Large Grey/Green,2023,Norco,Sight,2023,,7475,CAD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2021 Scott Ransom 920,2021,Scott,Ransom,2021,,2500,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2022 YETI SB 165 FRAME SRAM X0 CRANKS(New),2022,Yeti,NoModelFound,2022,,2899,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",180 mm,model
2019 Ibis Ripmo - Large - Full Kardashian Build,2019,Ibis,Ripmo,2019,,5000,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
