Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
Pivot SB Blue M | Pro X0 Carbon Wheels (CASH CREDIT!),,Pivot,NoModelFound,9404,CAD,New - Unridden/With Tags,M,29,160 mm,143 mm,Carbon Fiber,year,https://www.pinkbike.com/buysell/3894563/
Pivot SB Black L | Pro X0 Carbon Wheels (CASH CREDIT!),,Pivot,NoModelFound,9404,CAD,New - Unridden/With Tags,L,29,160 mm,143 mm,Carbon Fiber,year,https://www.pinkbike.com/buysell/3894592/
2021 Marin RIFT ZONE CARBON 2 29,2021,Marin,NoModelFound,2151,CAD,Excellent - Lightly Ridden,M,29,140 mm,130 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3892860/
2014 Giant Trance Advanced SX (Medium),2014,Giant,NoModelFound,1166,CAD,"Good - Used, Mechanically Sound",M,27.5 / 650B,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3876552/
2021 Specialized Stumpjumper Comp - S5. *upgraded*,2021,Specialized,NoModelFound,4100,USD,"Good - Used, Mechanically Sound",XL,29,140 mm,130 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3704538/
2023 Giant Trance Adv Pro 29 2,2023,Giant,NoModelFound,3499,USD,Excellent - Lightly Ridden,M,29,130 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3758686/
2024 Pivot Switch Blade - Limited Edition Talon,2024,Pivot,NoModelFound,8384,CAD,New - Unridden/With Tags,M,29,160 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3840917/
2018 Large S-Works Stumpjumper 27.5,2018,NoManufacturer,NoModelFound,2000,USD,Excellent - Lightly Ridden,L,27.5 / 650B,140 mm,135 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3809091/
2022 Rift Zone CXR XL,2022,NoManufacturer,NoModelFound,3644,CAD,New - Unridden/With Tags,XL,29,140 mm,120 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3381279/
2022 Transition Spur  X01,2022,Transition,NoModelFound,5831,CAD,New - Unridden/With Tags,L,29,120 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3456817/
2024 Specialized Stumpjumper Comp,2024,Specialized,NoModelFound,3280,CAD,New - Unridden/With Tags,M,29,140 mm,130 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3867329/
2024 Specialized Stumpjumper Alloy Comp,2024,Specialized,NoModelFound,2551,CAD,New - Unridden/With Tags,M,29,140 mm,130 mm,Aluminium,model,https://www.pinkbike.com/buysell/3867331/
2024 Speciliazed Stumpjumper S-Works EVO T-Type,2024,NoManufacturer,NoModelFound,7945,CAD,New - Unridden/With Tags,L,29,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3867366/
2024 Specialized Stumpjumper S-Works,2024,Specialized,NoModelFound,8018,CAD,New - Unridden/With Tags,L,29,140 mm,130 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3884617/
2024 Speacialized S-Works Stumpjumper EVO T Type,2024,NoManufacturer,NoModelFound,8674,CAD,New - Unridden/With Tags,L,29,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3817083/
2020 ibis ripley carbon,2020,Ibis,NoModelFound,3800,USD,"Good - Used, Mechanically Sound",L,29,130 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3871453/
"2021 Specialized Stumpjumper Expert Carbon, Size Large",2021,Specialized,NoModelFound,3098,CAD,"Good - Used, Mechanically Sound",L,29,140 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3896899/
